URI problem type	Thurayya URI	Author YML
auto	Andalus_RE_Auto	0541IbnCatiyyaAndalusi.yml
auto	Andalus_RE_Auto	0543IbnCarabiIshbili.yml
auto	Andalus_RE_Auto	0592IbnCabdRahmanLakhmiQurtubi.yml
auto	Andalus_RE_Auto	0604AbuDharrKhushani.yml
auto	Andalus_RE_Auto	0608IbnCutyaQudaciTurtushi.yml
auto	Andalus_RE_Auto	0620IbnCisaAzdiQurtubi.yml
auto	Andalus_RE_Auto	0633IbnDihyaJumayyilKalbi.yml
auto	Andalus_RE_Auto	0636IbnYusufBirzaliIshbili.yml
auto	Andalus_RE_Auto	0638IbnAhmadAndalusiHarali.yml
auto	Andalus_RE_Auto	0649IbnSahlAndalusi.yml
auto	Andalus_RE_Auto	0669IbnCusfurHadramiIshbili.yml
auto	Andalus_RE_Auto	0688IbnAhmadIshbiliUmawi.yml
auto	Andalus_RE_Auto	0741IbnAhmadGharnatiKalbi.yml
auto	Andalus_RE_Auto	0745AbuHayyanGharnati.yml
auto	Andalus_RE_Auto	0749IbnJabirWadiAshi.yml
auto	Andalus_RE_Auto	0763IbnHudhaylAndalusi.yml
auto	Andalus_RE_Auto	0779IbnYusufAndalusiGharnati.yml
auto	Andalus_RE_Auto	0790IbnMusaGharnatiShatibi.yml
auto	Andalus_RE_Auto	0829IbnCasimGharnati.yml
auto	Andalus_RE_Auto	0848IbnSarrajAndalusi.yml
auto	Andalus_RE_Auto	0860ShihabUbbadhi.yml
auto	Andalus_RE_Auto	0862IbnMuhammadMujari.yml
auto	Andalus_RE_Auto	0897IbnYusufCabdariGharnati.yml
auto	Aqur_RE_Auto	0295IbnHasanHarrani.yml
auto	Aqur_RE_Auto	0307AbuYaclaMawsili.yml
auto	Aqur_RE_Auto	0374IbnHusaynAzdi.yml
auto	Aqur_RE_Auto	0494AbuNasrIbnWadcan.yml
auto	Aqur_RE_Auto	0622IbnBadrDiyaDinMawsili.yml
auto	Aqur_RE_Auto	0666IbnCadlanMawsiliRabci.yml
auto	Aqur_RE_Auto	0683IbnMahmudMajdDinMawsili.yml
auto	Aqur_RE_Auto	0774IbnMuhammadShamsDinIbnMawsili.yml
auto	Daylam_RE_Auto	0260IbnSahlTabari.yml
auto	Daylam_RE_Auto	0335IbnQass.yml
auto	Daylam_RE_Auto	0340IbnMusaTabari.yml
auto	Daylam_RE_Auto	0371AhmadJurjani.yml
auto	Daylam_RE_Auto	0388Shabushti.yml
auto	Daylam_RE_Auto	0430MuwaffaqHusaynJurjani.yml
auto	Daylam_RE_Auto	0448SallarIbnCabdCaziz.yml
auto	Daylam_RE_Auto	0478IbnCabSamadQattan.yml
auto	Daylam_RE_Auto	0489IbnYusufJurjani.yml
auto	Daylam_RE_Auto	0499IbnHusaynJurjani.yml
auto	Daylam_RE_Auto	0504IbnMuhammadCimadDinTabari.yml
auto	Daylam_RE_Auto	0525IbnCaliTabari.yml
auto	Daylam_RE_Auto	0694MuhibbDinTabari.yml
auto	Fars_RE_Auto	0330AbuZaydSirafi.yml
auto	Fars_RE_Auto	0355BakrIbnAhmadShirazi.yml
auto	Fars_RE_Auto	0368AbuSacidSirafi.yml
auto	Fars_RE_Auto	0410IbnCumarDimashqi.yml
auto	Fars_RE_Auto	0421HasanIbnSuwar.yml
auto	Fars_RE_Auto	0428IbnCabdAllahShirazi.yml
auto	Fars_RE_Auto	0431IbnMuhammadZuzani.yml
auto	Fars_RE_Auto	0445IbnHasanZuzani.yml
auto	Fars_RE_Auto	0446IbnCaliAhwazi.yml
auto	Fars_RE_Auto	0454AbuMuhammadJawhari.yml
auto	Fars_RE_Auto	0486IbnAhmadZuzani.yml
auto	Fars_RE_Auto	0487IbnCaliShirazi.yml
auto	Fars_RE_Auto	0685NasirDinBaydawi.yml
auto	Fars_RE_Auto	1050SadrDinShirazi.yml
auto	Fars_RE_Auto	1098MuhammadTahirShiraziQummi.yml
auto	Fars_RE_Auto	1293MahdiKujuriShirazi.yml
auto	Iraq_RE_Auto	0131ZubayrHamdani.yml
auto	Iraq_RE_Auto	0145MufaddalIbnCumarJucfi.yml
auto	Iraq_RE_Auto	0146MajacaIbnZubayr.yml
auto	Iraq_RE_Auto	0156IbnAbiCuruba.yml
auto	Iraq_RE_Auto	0167SariIbnYahyaBasri.yml
auto	Iraq_RE_Auto	0170RabicIbnHabibAzdi.yml
auto	Iraq_RE_Auto	0188IbnMuhammadFazari.yml
