versionUri	language	subcorpus	uncorrected_OCR	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	char_length	url	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	city_ar	city_lat	institution_ar	institution_lat	shelfmark	catalog_ref	parts
MS0044LondonKhalili.DOC112.IEDC0003-bac1	bac	MSS	False							https://www.invisible-east.org/corpus/3/	IEDC0003	pri	759	4083	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC112/MS0044LondonKhalili.DOC112.IEDC0003-bac1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 112		
MS0044LondonKhalili.DOC113.IEDC0011-bac1	bac	MSS	False							https://www.invisible-east.org/corpus/11/	IEDC0011	pri	336	1979	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC113/MS0044LondonKhalili.DOC113.IEDC0011-bac1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 113		
MS0044LondonKhalili.DOC114.IEDC0017-bac1	bac	MSS	False							https://www.invisible-east.org/corpus/17/	IEDC0017	pri	340	2136	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC114/MS0044LondonKhalili.DOC114.IEDC0017-bac1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 114		
MS0044LondonKhalili.DOC115.IEDC0019-bac1	bac	MSS	False							https://www.invisible-east.org/corpus/19/	IEDC0019	pri	68	346	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC115/MS0044LondonKhalili.DOC115.IEDC0019-bac1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 115		
MS0044LondonKhalili.DOC116.IEDC0004-bac1	bac	MSS	False							https://www.invisible-east.org/corpus/4/	IEDC0004	pri	992	5834	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC116/MS0044LondonKhalili.DOC116.IEDC0004-bac1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 116		
MS0044LondonKhalili.DOC117.IEDC0005-bac1	bac	MSS	False							https://www.invisible-east.org/corpus/5/	IEDC0005	pri	206	1097	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC117/MS0044LondonKhalili.DOC117.IEDC0005-bac1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 117		
MS0044LondonKhalili.DOC11AR14.IEDC0056-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/56/	IEDC0056	pri	92	390	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC11AR14/MS0044LondonKhalili.DOC11AR14.IEDC0056-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 11 [AR 14]		
MS0044LondonKhalili.DOC12AR11.IEDC0046-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/46/	IEDC0046	pri	100	392	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC12AR11/MS0044LondonKhalili.DOC12AR11.IEDC0046-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 12 [AR 11]		
MS0044LondonKhalili.DOC13AR15.IEDC0032-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/32/	IEDC0032	pri	62	244	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC13AR15/MS0044LondonKhalili.DOC13AR15.IEDC0032-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 13 [AR 15]		
MS0044LondonKhalili.DOC14AR28.IEDC0050-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/50/	IEDC0050	pri	57	214	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC14AR28/MS0044LondonKhalili.DOC14AR28.IEDC0050-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 14 [AR 28]		
MS0044LondonKhalili.DOC151.IEDC1222-per1	per	MSS	False							https://www.invisible-east.org/corpus/1222/	IEDC1222	pri	238	786	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC151/MS0044LondonKhalili.DOC151.IEDC1222-per1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 151		
MS0044LondonKhalili.DOC152Rectoa.IEDC1226-per1	per	MSS	False							https://www.invisible-east.org/corpus/1226/	IEDC1226	pri	43	157	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC152Rectoa/MS0044LondonKhalili.DOC152Rectoa.IEDC1226-per1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 152, recto (a)		
MS0044LondonKhalili.DOC152Rectob.IEDC1225-per1	per	MSS	False							https://www.invisible-east.org/corpus/1225/	IEDC1225	pri	19	64	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC152Rectob/MS0044LondonKhalili.DOC152Rectob.IEDC1225-per1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 152, recto (b)		
MS0044LondonKhalili.DOC152Verso.IEDC1223-per1	per	MSS	False							https://www.invisible-east.org/corpus/1223/	IEDC1223	pri	47	171	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC152Verso/MS0044LondonKhalili.DOC152Verso.IEDC1223-per1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 152, verso		
MS0044LondonKhalili.DOC15AR23.IEDC0036-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/36/	IEDC0036	pri	52	194	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC15AR23/MS0044LondonKhalili.DOC15AR23.IEDC0036-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 15 [AR 23]		
MS0044LondonKhalili.DOC16AR24.IEDC0049-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/49/	IEDC0049	pri	60	248	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC16AR24/MS0044LondonKhalili.DOC16AR24.IEDC0049-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 16 [AR 24]		
MS0044LondonKhalili.DOC17AR3.IEDC0043-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/43/	IEDC0043	pri	58	218	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC17AR3/MS0044LondonKhalili.DOC17AR3.IEDC0043-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 17 [AR 3]		
