versionUri	date	author	book	title	ed_info	id	status	length	url	tags
0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1	0045	Jarwal Ibn Aws Hutaya :: الحطيئة	0045JarwalIbnAwsHutaya.Diwan	Diwan :: ديوان الحطيئة		JK007531	pri	9294	data/0045JarwalIbnAwsHutaya/0045JarwalIbnAwsHutaya.Diwan/0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1	_MUKHADRAM :: _SHICR :: دواوين الشعر العربي :: مخضرم
0060MucawiyaIbnAbiSyfyan.Diwan.JK007541-ara1	0060	Mucawiya Ibn Abi Syfyan :: معاوية بن أبي سفيان	0060MucawiyaIbnAbiSyfyan.Diwan	Diwan :: ديوان معاوية بن أبي سفيان		JK007541	pri	2350	data/0060MucawiyaIbnAbiSyfyan/0060MucawiyaIbnAbiSyfyan.Diwan/0060MucawiyaIbnAbiSyfyan.Diwan.JK007541-ara1	_SHICR_ISLAMI :: _SHICR :: إسلامي :: دواوين الشعر العربي
0068QaysIbnDharihLubna.Diwan.JK007557-ara1	0068	Qays Ibn Dharih Lubna :: قيس لبنى	0068QaysIbnDharihLubna.Diwan	Diwan :: ديوان قيس لبنى		JK007557	pri	4011	data/0068QaysIbnDharihLubna/0068QaysIbnDharihLubna.Diwan/0068QaysIbnDharihLubna.Diwan.JK007557-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
0080LaylaAkhyaliyya.Diwan.JK007559-ara1	0080	Layla Akhyaliyya :: ليلى الأخيلية	0080LaylaAkhyaliyya.Diwan	Diwan :: ديوان ليلى الأخيلية		JK007559	pri	2804	data/0080LaylaAkhyaliyya/0080LaylaAkhyaliyya.Diwan/0080LaylaAkhyaliyya.Diwan.JK007559-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
0080UqayshirAsadi.Diwan.JK007539-ara1	0080	Uqayshir Asadi :: الأقيشر السعدي	0080UqayshirAsadi.Diwan	Diwan :: ديوان الأقيشر السعدي		JK007539	pri	1941	data/0080UqayshirAsadi/0080UqayshirAsadi.Diwan/0080UqayshirAsadi.Diwan.JK007539-ara1	_SHICR_ISLAMI :: _SHICR :: إسلامي :: دواوين الشعر العربي
0090WaddahYaman.Diwan.JK007562-ara1	0090	Waddah Yaman :: وضاح اليمن	0090WaddahYaman.Diwan	Diwan :: ديوان وضاح اليمن		JK007562	pri	2572	data/0090WaddahYaman/0090WaddahYaman.Diwan/0090WaddahYaman.Diwan.JK007562-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
0093IbnAbiRabica.Diwan.JK007556-ara1	0093	Ibn Abi Rabica :: عمر ابن أبي ربيعة	0093IbnAbiRabica.Diwan	Diwan :: ديوان عمر ابن أبي ربيعة		JK007556	pri	37188	data/0093IbnAbiRabica/0093IbnAbiRabica.Diwan/0093IbnAbiRabica.Diwan.JK007556-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
0095CadiIbnRiqac.Diwan.JK007553-ara1	0095	Cadi Ibn Riqac :: عدي بن الرقاع	0095CadiIbnRiqac.Diwan	Diwan :: ديوان عدي بن الرقاع		JK007553	pri	3185	data/0095CadiIbnRiqac/0095CadiIbnRiqac.Diwan/0095CadiIbnRiqac.Diwan.JK007553-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
0105KuthayyirCazza.Diwan.JK007558-ara1	0105	Kuthayyir Cazza :: كثير عزة	0105KuthayyirCazza.Diwan	Diwan :: ديوان كثير عزة		JK007558	pri	17913	data/0105KuthayyirCazza/0105KuthayyirCazza.Diwan/0105KuthayyirCazza.Diwan.JK007558-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
0110Farazdaq.Diwan.JK007547-ara1	0110	Farazdaq :: الفرزدق	0110Farazdaq.Diwan	Diwan :: ديوان الفرزدق		JK007547	pri	6400	data/0110Farazdaq/0110Farazdaq.Diwan/0110Farazdaq.Diwan.JK007547-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
